filepath,label,cluster,umap_x,umap_y
data\raw\HAM10000_images_part_1\ISIC_0027687.jpg,nevus,1,5.33051,2.4268332
data\raw\HAM10000_images_part_2\ISIC_0029402.jpg,nevus,0,4.28292,-3.3967628
data\raw\HAM10000_images_part_1\ISIC_0024958.jpg,melanoma,2,7.733651,0.8984899
data\raw\HAM10000_images_part_1\ISIC_0027837.jpg,nevus,0,5.5886817,0.026284624
data\raw\HAM10000_images_part_2\ISIC_0034025.jpg,nevus,1,8.969866,-1.3056407
data\raw\HAM10000_images_part_1\ISIC_0027164.jpg,nevus,2,2.736611,2.853347
data\raw\HAM10000_images_part_1\ISIC_0027864.jpg,nevus,1,6.9120774,-1.0513387
data\raw\HAM10000_images_part_2\ISIC_0031574.jpg,nevus,2,3.017519,1.975583
data\raw\HAM10000_images_part_2\ISIC_0032028.jpg,nevus,2,8.069957,1.736461
data\raw\HAM10000_images_part_1\ISIC_0025461.jpg,nevus,1,10.254086,-1.2592226
data\raw\HAM10000_images_part_2\ISIC_0030646.jpg,nevus,2,3.5736003,0.39377412
data\raw\HAM10000_images_part_2\ISIC_0029368.jpg,nevus,0,6.6674485,-1.0929137
data\raw\HAM10000_images_part_1\ISIC_0028083.jpg,nevus,1,10.102586,-0.75958264
data\raw\HAM10000_images_part_1\ISIC_0028550.jpg,seborrheic_keratosis,0,2.9628189,-1.5814236
data\raw\HAM10000_images_part_1\ISIC_0024736.jpg,nevus,2,3.1795805,1.6294043
data\raw\HAM10000_images_part_2\ISIC_0032117.jpg,nevus,2,3.6885865,1.914918
data\raw\HAM10000_images_part_2\ISIC_0033272.jpg,melanoma,2,3.0354362,0.26034057
data\raw\HAM10000_images_part_2\ISIC_0033449.jpg,seborrheic_keratosis,2,8.176973,0.742176
data\raw\HAM10000_images_part_1\ISIC_0024917.jpg,nevus,2,4.0000525,3.0985746
data\raw\HAM10000_images_part_2\ISIC_0031685.jpg,nevus,2,4.845977,1.787397
data\raw\HAM10000_images_part_2\ISIC_0031328.jpg,nevus,2,4.151899,1.7995313
data\raw\HAM10000_images_part_2\ISIC_0032053.jpg,nevus,0,4.0275135,-0.100771144
data\raw\HAM10000_images_part_1\ISIC_0027374.jpg,seborrheic_keratosis,0,3.9924471,-2.467562
data\raw\HAM10000_images_part_1\ISIC_0024548.jpg,nevus,2,4.420031,-0.3804664
data\raw\HAM10000_images_part_2\ISIC_0033540.jpg,nevus,0,5.9565063,-5.1134996
data\raw\HAM10000_images_part_2\ISIC_0029676.jpg,seborrheic_keratosis,1,8.060506,-1.0597873
data\raw\HAM10000_images_part_1\ISIC_0028429.jpg,nevus,0,5.413718,-0.3210584
data\raw\HAM10000_images_part_1\ISIC_0026187.jpg,nevus,2,4.4756393,0.53322065
data\raw\HAM10000_images_part_1\ISIC_0027360.jpg,nevus,0,2.8754618,-2.320515
data\raw\HAM10000_images_part_2\ISIC_0032609.jpg,nevus,0,6.37954,-4.3303475
data\raw\HAM10000_images_part_1\ISIC_0026255.jpg,nevus,1,8.846293,-1.4292709
data\raw\HAM10000_images_part_2\ISIC_0031921.jpg,nevus,1,5.9641,0.64700145
data\raw\HAM10000_images_part_2\ISIC_0032726.jpg,melanoma,0,5.5797772,-3.2607853
data\raw\HAM10000_images_part_2\ISIC_0033628.jpg,nevus,0,4.141991,-1.8593904
data\raw\HAM10000_images_part_2\ISIC_0033702.jpg,nevus,0,6.360128,-4.5668764
data\raw\HAM10000_images_part_1\ISIC_0025053.jpg,nevus,1,5.4675617,2.0679238
data\raw\HAM10000_images_part_2\ISIC_0031752.jpg,nevus,2,2.2979746,2.196187
data\raw\HAM10000_images_part_1\ISIC_0025763.jpg,nevus,1,2.9500816,-2.4125915
data\raw\HAM10000_images_part_2\ISIC_0031558.jpg,seborrheic_keratosis,1,6.254807,1.3217983
data\raw\HAM10000_images_part_1\ISIC_0027023.jpg,seborrheic_keratosis,0,6.2997036,-3.588332
data\raw\HAM10000_images_part_2\ISIC_0033100.jpg,nevus,1,7.538362,-0.067911014
data\raw\HAM10000_images_part_2\ISIC_0033508.jpg,nevus,0,7.1005588,0.1041896
data\raw\HAM10000_images_part_1\ISIC_0028906.jpg,nevus,2,3.3542209,1.2072269
data\raw\HAM10000_images_part_1\ISIC_0024551.jpg,nevus,2,3.254021,2.168881
data\raw\HAM10000_images_part_2\ISIC_0032110.jpg,melanoma,2,3.3618128,-1.5792018
data\raw\HAM10000_images_part_2\ISIC_0030475.jpg,nevus,1,8.738009,-0.52876306
data\raw\HAM10000_images_part_1\ISIC_0029294.jpg,nevus,1,7.197965,-1.2874539
data\raw\HAM10000_images_part_1\ISIC_0028221.jpg,nevus,2,5.084249,3.0061443
data\raw\HAM10000_images_part_2\ISIC_0032228.jpg,nevus,1,8.342817,-1.3074566
data\raw\HAM10000_images_part_2\ISIC_0031089.jpg,nevus,0,5.300877,-0.3385524
data\raw\HAM10000_images_part_2\ISIC_0030343.jpg,nevus,1,8.367244,-1.3881702
data\raw\HAM10000_images_part_2\ISIC_0030820.jpg,nevus,1,8.999101,-0.3942915
data\raw\HAM10000_images_part_2\ISIC_0033861.jpg,nevus,2,2.4233325,-0.47274974
data\raw\HAM10000_images_part_1\ISIC_0024807.jpg,nevus,1,10.150648,-0.8816792
data\raw\HAM10000_images_part_2\ISIC_0032068.jpg,nevus,1,9.120604,-1.0917898
data\raw\HAM10000_images_part_2\ISIC_0033641.jpg,nevus,2,3.2305305,-1.8662046
data\raw\HAM10000_images_part_1\ISIC_0025066.jpg,seborrheic_keratosis,1,7.7082324,0.99328774
data\raw\HAM10000_images_part_2\ISIC_0033038.jpg,melanoma,2,2.9598138,-0.996872
data\raw\HAM10000_images_part_2\ISIC_0032341.jpg,nevus,0,5.947598,-0.71592057
data\raw\HAM10000_images_part_1\ISIC_0027119.jpg,nevus,1,10.111823,-0.7954143
data\raw\HAM10000_images_part_1\ISIC_0025764.jpg,nevus,1,9.656335,-0.54740834
data\raw\HAM10000_images_part_2\ISIC_0031391.jpg,nevus,1,8.703363,-0.4145062
data\raw\HAM10000_images_part_1\ISIC_0026787.jpg,seborrheic_keratosis,2,2.5828216,-1.9885371
data\raw\HAM10000_images_part_2\ISIC_0030563.jpg,nevus,2,2.495788,1.0984408
data\raw\HAM10000_images_part_2\ISIC_0031813.jpg,nevus,0,4.2542353,-3.3705645
data\raw\HAM10000_images_part_2\ISIC_0030759.jpg,melanoma,0,5.7740254,-4.853638
data\raw\HAM10000_images_part_2\ISIC_0030273.jpg,nevus,2,3.6874774,-1.9635406
data\raw\HAM10000_images_part_2\ISIC_0033997.jpg,nevus,0,6.5978627,-2.080059
data\raw\HAM10000_images_part_1\ISIC_0027866.jpg,nevus,1,9.299243,-0.8770403
data\raw\HAM10000_images_part_1\ISIC_0026028.jpg,nevus,0,5.5229807,-2.6980438
data\raw\HAM10000_images_part_2\ISIC_0032583.jpg,melanoma,0,6.086507,-4.7440276
data\raw\HAM10000_images_part_1\ISIC_0027869.jpg,nevus,2,5.0250177,2.392978
data\raw\HAM10000_images_part_1\ISIC_0026027.jpg,nevus,0,4.880088,-1.7038914
data\raw\HAM10000_images_part_1\ISIC_0029107.jpg,seborrheic_keratosis,2,3.5497653,3.084023
data\raw\HAM10000_images_part_1\ISIC_0028767.jpg,nevus,0,6.0414476,-1.7861422
data\raw\HAM10000_images_part_1\ISIC_0029111.jpg,nevus,2,2.5079088,1.5209507
data\raw\HAM10000_images_part_2\ISIC_0031515.jpg,nevus,0,6.042713,-3.923969
data\raw\HAM10000_images_part_2\ISIC_0033284.jpg,seborrheic_keratosis,0,6.2417383,-4.7194834
data\raw\HAM10000_images_part_1\ISIC_0024317.jpg,nevus,2,4.764201,-0.4720516
data\raw\HAM10000_images_part_1\ISIC_0028886.jpg,nevus,2,3.7809787,0.8309748
data\raw\HAM10000_images_part_1\ISIC_0026033.jpg,nevus,2,2.4956028,2.303268
data\raw\HAM10000_images_part_1\ISIC_0028115.jpg,nevus,1,6.233116,1.2026534
data\raw\HAM10000_images_part_2\ISIC_0033430.jpg,nevus,0,5.9885564,-5.1543946
data\raw\HAM10000_images_part_1\ISIC_0027277.jpg,melanoma,1,5.7801867,-0.62552595
data\raw\HAM10000_images_part_1\ISIC_0028099.jpg,nevus,1,8.933839,-0.32652926
data\raw\HAM10000_images_part_2\ISIC_0030751.jpg,nevus,2,2.5024583,2.1390345
data\raw\HAM10000_images_part_1\ISIC_0027764.jpg,nevus,1,10.379382,-1.1076553
data\raw\HAM10000_images_part_2\ISIC_0030917.jpg,nevus,0,5.7300286,-0.9233953
data\raw\HAM10000_images_part_2\ISIC_0032480.jpg,nevus,2,1.9476529,1.8219534
data\raw\HAM10000_images_part_2\ISIC_0033898.jpg,nevus,0,4.3076086,-3.4759543
data\raw\HAM10000_images_part_2\ISIC_0031982.jpg,nevus,0,4.702995,-2.377225
data\raw\HAM10000_images_part_1\ISIC_0029126.jpg,seborrheic_keratosis,2,2.2156155,-2.5406168
data\raw\HAM10000_images_part_2\ISIC_0032072.jpg,melanoma,2,2.2938554,-1.3820484
data\raw\HAM10000_images_part_1\ISIC_0028939.jpg,nevus,0,4.316672,-0.024420856
data\raw\HAM10000_images_part_1\ISIC_0028311.jpg,nevus,2,3.909606,1.6176684
data\raw\HAM10000_images_part_2\ISIC_0031287.jpg,seborrheic_keratosis,2,5.6924734,-5.466
data\raw\HAM10000_images_part_1\ISIC_0028789.jpg,nevus,1,5.8142395,2.481798
data\raw\HAM10000_images_part_2\ISIC_0030970.jpg,melanoma,0,5.402788,-0.8585876
data\raw\HAM10000_images_part_2\ISIC_0033722.jpg,seborrheic_keratosis,2,4.1593175,1.4577041
data\raw\HAM10000_images_part_2\ISIC_0033388.jpg,nevus,1,6.851096,-0.3169506
data\raw\HAM10000_images_part_2\ISIC_0031399.jpg,nevus,2,3.0851183,0.29329717
data\raw\HAM10000_images_part_1\ISIC_0024977.jpg,nevus,2,2.036138,1.9803785
data\raw\HAM10000_images_part_1\ISIC_0026538.jpg,seborrheic_keratosis,0,2.4845119,-2.897796
data\raw\HAM10000_images_part_2\ISIC_0031621.jpg,nevus,2,3.0148168,1.1351271
data\raw\HAM10000_images_part_1\ISIC_0025871.jpg,nevus,0,5.165209,-1.9577798
data\raw\HAM10000_images_part_2\ISIC_0033090.jpg,nevus,2,3.2248936,-0.6587107
data\raw\HAM10000_images_part_1\ISIC_0029180.jpg,nevus,2,3.232669,2.1397493
data\raw\HAM10000_images_part_2\ISIC_0032693.jpg,nevus,2,2.561267,-0.26781908
data\raw\HAM10000_images_part_1\ISIC_0026076.jpg,nevus,2,3.5167258,-1.3079181
data\raw\HAM10000_images_part_1\ISIC_0026509.jpg,nevus,1,9.35795,-1.2584056
data\raw\HAM10000_images_part_2\ISIC_0034286.jpg,nevus,0,6.3405576,-4.1797338
data\raw\HAM10000_images_part_2\ISIC_0033035.jpg,nevus,2,6.669276,-0.18428615
data\raw\HAM10000_images_part_2\ISIC_0032526.jpg,melanoma,2,4.135442,-0.7523125
data\raw\HAM10000_images_part_1\ISIC_0025484.jpg,seborrheic_keratosis,1,5.3787413,1.8431648
data\raw\HAM10000_images_part_1\ISIC_0024980.jpg,nevus,2,4.197455,1.0050753
data\raw\HAM10000_images_part_2\ISIC_0030262.jpg,nevus,2,3.4834387,2.282407
data\raw\HAM10000_images_part_2\ISIC_0031304.jpg,nevus,2,2.1899698,-1.2520351
data\raw\HAM10000_images_part_2\ISIC_0032063.jpg,seborrheic_keratosis,1,6.4207697,0.11832667
data\raw\HAM10000_images_part_1\ISIC_0024544.jpg,nevus,1,5.6230993,2.3255234
data\raw\HAM10000_images_part_1\ISIC_0026214.jpg,nevus,2,4.5939555,0.9194623
data\raw\HAM10000_images_part_1\ISIC_0028325.jpg,melanoma,0,5.7504387,-5.24477
data\raw\HAM10000_images_part_1\ISIC_0028632.jpg,nevus,1,6.47332,1.1632653
data\raw\HAM10000_images_part_1\ISIC_0025662.jpg,nevus,0,3.2456625,-2.9070604
data\raw\HAM10000_images_part_2\ISIC_0032722.jpg,melanoma,1,8.002991,-0.9163908
data\raw\HAM10000_images_part_2\ISIC_0033444.jpg,melanoma,0,5.0288496,-4.381208
data\raw\HAM10000_images_part_2\ISIC_0030853.jpg,nevus,1,5.921978,2.7258627
data\raw\HAM10000_images_part_1\ISIC_0025592.jpg,melanoma,0,4.9577394,-2.6937873
data\raw\HAM10000_images_part_2\ISIC_0033485.jpg,melanoma,1,8.077502,-0.5434057
data\raw\HAM10000_images_part_2\ISIC_0031524.jpg,nevus,0,3.2300775,-1.6733773
data\raw\HAM10000_images_part_1\ISIC_0028257.jpg,nevus,1,8.86998,-0.5464264
data\raw\HAM10000_images_part_1\ISIC_0027027.jpg,seborrheic_keratosis,2,2.7910101,2.9348962
data\raw\HAM10000_images_part_2\ISIC_0033024.jpg,melanoma,0,6.008873,-3.1121764
data\raw\HAM10000_images_part_2\ISIC_0030266.jpg,nevus,1,9.101623,-0.060967803
data\raw\HAM10000_images_part_1\ISIC_0028140.jpg,nevus,1,6.7109766,-0.8861671
data\raw\HAM10000_images_part_2\ISIC_0032433.jpg,melanoma,2,2.5490038,0.08334018
data\raw\HAM10000_images_part_1\ISIC_0024597.jpg,nevus,0,5.7073464,-1.7443825
data\raw\HAM10000_images_part_2\ISIC_0033187.jpg,nevus,0,4.3348227,-2.039698
data\raw\HAM10000_images_part_2\ISIC_0032387.jpg,nevus,2,2.4868293,0.1966363
data\raw\HAM10000_images_part_1\ISIC_0027113.jpg,nevus,1,7.930463,-1.3285693
data\raw\HAM10000_images_part_2\ISIC_0033347.jpg,nevus,0,4.823948,-2.5001798
data\raw\HAM10000_images_part_1\ISIC_0026997.jpg,nevus,1,7.7942843,0.089218
data\raw\HAM10000_images_part_2\ISIC_0029381.jpg,nevus,1,5.794603,2.1907473
data\raw\HAM10000_images_part_2\ISIC_0034033.jpg,nevus,2,2.89177,-0.47980946
data\raw\HAM10000_images_part_1\ISIC_0026731.jpg,nevus,2,5.0949445,2.5618627
data\raw\HAM10000_images_part_1\ISIC_0028150.jpg,nevus,2,2.8217418,-2.4085019
data\raw\HAM10000_images_part_2\ISIC_0033664.jpg,nevus,0,6.475415,-0.65111846
data\raw\HAM10000_images_part_2\ISIC_0032323.jpg,nevus,1,5.6508255,2.4017231
data\raw\HAM10000_images_part_1\ISIC_0026841.jpg,nevus,0,3.9455323,0.16038616
data\raw\HAM10000_images_part_1\ISIC_0025585.jpg,nevus,2,4.0878944,0.57271796
data\raw\HAM10000_images_part_2\ISIC_0033311.jpg,nevus,0,6.3201237,-3.94894
data\raw\HAM10000_images_part_1\ISIC_0024936.jpg,nevus,2,2.819548,2.8153138
data\raw\HAM10000_images_part_1\ISIC_0025086.jpg,seborrheic_keratosis,2,1.3033324,-1.6503476
data\raw\HAM10000_images_part_1\ISIC_0028705.jpg,nevus,0,4.5540566,-0.0075383214
data\raw\HAM10000_images_part_2\ISIC_0031673.jpg,nevus,1,6.2437077,-0.28217012
data\raw\HAM10000_images_part_1\ISIC_0026812.jpg,nevus,1,9.829666,-0.65221286
data\raw\HAM10000_images_part_2\ISIC_0034028.jpg,melanoma,0,3.7431056,-2.1355937
data\raw\HAM10000_images_part_1\ISIC_0028614.jpg,nevus,2,3.241555,2.007553
data\raw\HAM10000_images_part_2\ISIC_0029822.jpg,nevus,1,5.360976,1.2862163
data\raw\HAM10000_images_part_2\ISIC_0031149.jpg,nevus,0,4.0165095,0.10612493
data\raw\HAM10000_images_part_1\ISIC_0026113.jpg,melanoma,0,5.701886,-1.4730964
data\raw\HAM10000_images_part_1\ISIC_0025566.jpg,nevus,2,2.124232,1.6711009
data\raw\HAM10000_images_part_2\ISIC_0030053.jpg,nevus,0,6.1634793,-4.120553
data\raw\HAM10000_images_part_2\ISIC_0029484.jpg,nevus,2,2.8479018,2.0072014
data\raw\HAM10000_images_part_2\ISIC_0029770.jpg,seborrheic_keratosis,2,2.3169198,0.7661108
data\raw\HAM10000_images_part_2\ISIC_0033545.jpg,melanoma,2,3.1704278,-0.92969614
data\raw\HAM10000_images_part_1\ISIC_0025730.jpg,nevus,1,7.457501,-0.91690475
data\raw\HAM10000_images_part_1\ISIC_0029093.jpg,nevus,0,4.6860375,-2.77116
data\raw\HAM10000_images_part_1\ISIC_0026551.jpg,nevus,2,2.7597034,-1.5430509
data\raw\HAM10000_images_part_1\ISIC_0026241.jpg,nevus,0,4.1906533,-0.13407819
data\raw\HAM10000_images_part_2\ISIC_0030189.jpg,seborrheic_keratosis,0,6.0134115,-4.7499685
data\raw\HAM10000_images_part_1\ISIC_0027395.jpg,nevus,2,3.0198042,1.0628366
data\raw\HAM10000_images_part_2\ISIC_0031907.jpg,nevus,2,2.9856882,2.8456378
data\raw\HAM10000_images_part_2\ISIC_0031677.jpg,seborrheic_keratosis,0,5.8887014,-4.8825116
data\raw\HAM10000_images_part_1\ISIC_0028284.jpg,nevus,2,4.213924,1.4232957
data\raw\HAM10000_images_part_1\ISIC_0028742.jpg,nevus,1,8.215715,-0.42809746
data\raw\HAM10000_images_part_1\ISIC_0026191.jpg,nevus,1,5.52914,2.8703494
data\raw\HAM10000_images_part_1\ISIC_0024641.jpg,nevus,1,7.630539,-0.5056494
data\raw\HAM10000_images_part_2\ISIC_0031067.jpg,nevus,2,5.096472,1.2382822
data\raw\HAM10000_images_part_1\ISIC_0024594.jpg,nevus,0,6.166328,-1.4036382
data\raw\HAM10000_images_part_2\ISIC_0029571.jpg,melanoma,0,3.8430588,-2.4824378
data\raw\HAM10000_images_part_2\ISIC_0033487.jpg,melanoma,2,4.966768,0.88964325
data\raw\HAM10000_images_part_2\ISIC_0031843.jpg,nevus,1,8.849878,-1.3406553
data\raw\HAM10000_images_part_2\ISIC_0031022.jpg,nevus,1,4.163749,2.8741276
data\raw\HAM10000_images_part_2\ISIC_0030001.jpg,nevus,2,2.4606557,2.7079246
data\raw\HAM10000_images_part_1\ISIC_0029158.jpg,nevus,0,4.4794397,0.005955742
data\raw\HAM10000_images_part_2\ISIC_0032806.jpg,melanoma,2,1.5956775,-0.68979734
data\raw\HAM10000_images_part_2\ISIC_0034274.jpg,nevus,0,6.172534,-4.5955677
data\raw\HAM10000_images_part_1\ISIC_0024546.jpg,melanoma,2,1.8736777,1.9139085
data\raw\HAM10000_images_part_1\ISIC_0028722.jpg,nevus,2,3.004701,2.072604
data\raw\HAM10000_images_part_1\ISIC_0025257.jpg,nevus,2,2.9099388,-0.5107239
data\raw\HAM10000_images_part_1\ISIC_0028380.jpg,nevus,0,5.667926,-4.462389
data\raw\HAM10000_images_part_2\ISIC_0029862.jpg,nevus,0,4.037807,-1.8470622
data\raw\HAM10000_images_part_2\ISIC_0032099.jpg,seborrheic_keratosis,1,8.622926,-0.0238757
data\raw\HAM10000_images_part_1\ISIC_0025098.jpg,nevus,1,9.675917,-0.6456593
data\raw\HAM10000_images_part_1\ISIC_0025638.jpg,nevus,0,5.1629744,-4.0734296
data\raw\HAM10000_images_part_1\ISIC_0026572.jpg,nevus,0,3.5056112,0.043512426
data\raw\HAM10000_images_part_2\ISIC_0034232.jpg,nevus,0,5.625847,-3.0391011
data\raw\HAM10000_images_part_2\ISIC_0031661.jpg,nevus,2,3.4734113,0.59192806
data\raw\HAM10000_images_part_2\ISIC_0031435.jpg,nevus,0,3.7022629,-2.5720441
data\raw\HAM10000_images_part_2\ISIC_0029984.jpg,nevus,1,7.7549787,-0.4731113
data\raw\HAM10000_images_part_1\ISIC_0029081.jpg,melanoma,0,5.8583293,-5.133593
data\raw\HAM10000_images_part_2\ISIC_0029819.jpg,melanoma,2,2.1803029,1.7448201
data\raw\HAM10000_images_part_1\ISIC_0028925.jpg,seborrheic_keratosis,2,4.8444114,2.2915509
data\raw\HAM10000_images_part_1\ISIC_0028737.jpg,nevus,0,4.647924,-1.9600964
data\raw\HAM10000_images_part_1\ISIC_0025897.jpg,nevus,0,5.7256284,-0.63929623
data\raw\HAM10000_images_part_2\ISIC_0034220.jpg,nevus,0,2.8811765,-2.4198937
data\raw\HAM10000_images_part_1\ISIC_0027957.jpg,seborrheic_keratosis,0,4.8578954,-2.1966944
data\raw\HAM10000_images_part_1\ISIC_0027698.jpg,nevus,2,3.1987495,0.98118645
data\raw\HAM10000_images_part_2\ISIC_0030398.jpg,nevus,1,5.4439864,1.6535807
data\raw\HAM10000_images_part_2\ISIC_0031581.jpg,nevus,2,5.129845,1.280519
data\raw\HAM10000_images_part_2\ISIC_0031863.jpg,nevus,2,3.375955,-0.8865989
data\raw\HAM10000_images_part_1\ISIC_0027932.jpg,nevus,2,1.9323,2.2795315
data\raw\HAM10000_images_part_2\ISIC_0029520.jpg,nevus,1,5.6393957,0.47107428
data\raw\HAM10000_images_part_1\ISIC_0024428.jpg,nevus,2,3.167889,2.2673216
data\raw\HAM10000_images_part_1\ISIC_0028630.jpg,nevus,1,5.481551,1.7255908
data\raw\HAM10000_images_part_1\ISIC_0027378.jpg,nevus,2,2.4167392,1.8962644
data\raw\HAM10000_images_part_2\ISIC_0031500.jpg,nevus,1,5.844666,2.4386463
data\raw\HAM10000_images_part_1\ISIC_0027380.jpg,nevus,2,3.2418435,0.78602797
data\raw\HAM10000_images_part_1\ISIC_0028861.jpg,nevus,2,2.7460012,0.79354054
data\raw\HAM10000_images_part_1\ISIC_0029255.jpg,nevus,2,2.4704905,1.8418584
data\raw\HAM10000_images_part_1\ISIC_0027803.jpg,nevus,1,9.755693,-0.65950197
data\raw\HAM10000_images_part_2\ISIC_0033408.jpg,nevus,0,6.3668776,-4.4194846
data\raw\HAM10000_images_part_1\ISIC_0026688.jpg,nevus,1,5.926455,1.093062
data\raw\HAM10000_images_part_1\ISIC_0026251.jpg,nevus,0,6.204927,-3.9657664
data\raw\HAM10000_images_part_2\ISIC_0031623.jpg,nevus,2,2.3968425,2.6300926
data\raw\HAM10000_images_part_1\ISIC_0024865.jpg,melanoma,1,7.8516145,-0.97421014
data\raw\HAM10000_images_part_1\ISIC_0027471.jpg,nevus,2,2.3699834,-1.5000944
data\raw\HAM10000_images_part_2\ISIC_0034073.jpg,nevus,0,5.6559243,-0.2705915
data\raw\HAM10000_images_part_1\ISIC_0026410.jpg,nevus,2,2.582429,2.1826496
data\raw\HAM10000_images_part_1\ISIC_0028811.jpg,nevus,1,5.403213,2.4797282
data\raw\HAM10000_images_part_1\ISIC_0027527.jpg,seborrheic_keratosis,2,1.4510101,-0.5994224
data\raw\HAM10000_images_part_2\ISIC_0032656.jpg,melanoma,0,4.8693156,0.19061263
data\raw\HAM10000_images_part_2\ISIC_0030762.jpg,nevus,2,5.260832,1.2500039
data\raw\HAM10000_images_part_1\ISIC_0028089.jpg,nevus,2,5.193708,2.4845362
data\raw\HAM10000_images_part_1\ISIC_0027012.jpg,nevus,0,6.046686,-3.5541546
data\raw\HAM10000_images_part_2\ISIC_0030120.jpg,nevus,1,10.541681,-1.5159419
data\raw\HAM10000_images_part_1\ISIC_0024851.jpg,seborrheic_keratosis,2,5.3931108,-5.3322754
data\raw\HAM10000_images_part_1\ISIC_0028049.jpg,nevus,2,2.2420266,1.8751322
data\raw\HAM10000_images_part_2\ISIC_0031708.jpg,nevus,2,1.8613802,-1.4235606
data\raw\HAM10000_images_part_1\ISIC_0026224.jpg,nevus,0,5.723914,-0.086690456
data\raw\HAM10000_images_part_2\ISIC_0030218.jpg,nevus,1,9.05068,-1.3447287
data\raw\HAM10000_images_part_2\ISIC_0031632.jpg,nevus,2,4.928946,2.7736282
data\raw\HAM10000_images_part_1\ISIC_0025426.jpg,nevus,1,10.539641,-1.4891583
data\raw\HAM10000_images_part_1\ISIC_0028675.jpg,nevus,1,8.037044,-0.25716296
data\raw\HAM10000_images_part_1\ISIC_0026558.jpg,melanoma,0,4.082718,-2.6122482
data\raw\HAM10000_images_part_1\ISIC_0029071.jpg,nevus,2,3.8976972,1.7798798
data\raw\HAM10000_images_part_2\ISIC_0030074.jpg,nevus,0,2.8287277,-2.8073459
data\raw\HAM10000_images_part_1\ISIC_0028915.jpg,melanoma,2,2.2445238,-2.1882527
data\raw\HAM10000_images_part_1\ISIC_0027780.jpg,seborrheic_keratosis,2,5.4547095,-5.3362303
data\raw\HAM10000_images_part_2\ISIC_0032844.jpg,melanoma,0,5.401906,-4.1385055
data\raw\HAM10000_images_part_2\ISIC_0033864.jpg,nevus,0,5.136068,-1.0026557
data\raw\HAM10000_images_part_1\ISIC_0027221.jpg,nevus,2,5.224616,1.7541974
data\raw\HAM10000_images_part_1\ISIC_0027978.jpg,nevus,0,4.274862,-3.2477276
data\raw\HAM10000_images_part_1\ISIC_0027726.jpg,nevus,1,5.1819153,1.2788439
data\raw\HAM10000_images_part_2\ISIC_0032664.jpg,nevus,1,7.5918994,-0.36899838
data\raw\HAM10000_images_part_1\ISIC_0029169.jpg,nevus,0,6.283313,-3.5956948
data\raw\HAM10000_images_part_1\ISIC_0026544.jpg,nevus,1,8.158695,-1.3470901
data\raw\HAM10000_images_part_2\ISIC_0030831.jpg,nevus,0,6.490604,-1.24237
